system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
384,0,82,0,1,
385,0,82,2,4,
386,0,11,42,22,
387,27,22,67,20,
388,91,24,2,4,
389,0,82,0,3,
390,0,82,0,3,
391,0,82,0,2,
392,0,82,0,3,
393,0,81,8,8,
394,0,81,0,4,
395,0,41,59,21,
396,57,23,12,8,
397,0,82,0,0,
398,0,71,1,3,
399,0,90,4,8,
400,55,23,5,6,
401,11,21,40,20,
402,0,71,7,9,
403,0,82,3,8,
404,92,23,7,8,
405,0,82,1,4,
406,0,82,0,0,
407,0,82,1,3,
408,0,82,1,3,
409,42,23,1,3,
410,0,82,34,19,
411,0,82,0,1,
412,0,82,0,0,
413,37,22,14,11,
414,67,23,8,7,
415,0,41,29,19,
416,0,52,72,19,
417,25,22,30,18,
418,0,82,0,2,
419,34,22,16,13,
420,0,82,0,2,
421,0,82,0,1,
422,0,82,0,2,
423,0,82,0,2,
424,28,22,4,6,
425,30,22,4,9,
426,0,82,10,15,
427,0,82,0,2,
428,0,81,9,11,
429,0,41,38,19,
430,0,82,0,2,
431,0,82,1,3,
432,0,82,0,0,
433,22,22,1,3,
434,0,95,60,27,
435,0,81,0,3,
436,0,82,1,3,
437,0,82,0,0,
438,48,22,8,9,
439,0,82,0,1,
440,0,43,20,23,
441,90,24,1,3,
442,30,22,1,5,
443,0,82,61,19,
444,26,22,4,5,
445,0,82,0,1,
446,0,41,76,14,
447,50,23,1,5,
448,19,21,12,8,
449,0,82,1,5,
450,0,52,69,20,
451,0,82,0,2,
452,24,22,3,5,
453,0,82,0,1,
454,0,82,0,2,
455,63,23,24,19,
456,14,21,16,14,
457,13,21,0,3,
458,0,82,2,4,
459,0,82,0,1,
460,7,21,0,0,
461,0,82,2,7,
462,0,82,1,3,
463,0,82,0,2,
464,0,81,0,3,
465,0,82,1,6,
466,0,82,6,13,
467,0,82,0,2,
468,0,82,0,1,
469,25,22,72,17,
470,0,82,0,2,
471,0,41,54,22,
472,0,82,0,2,
473,72,23,7,6,
474,0,11,14,13,
475,41,22,17,17,
476,0,82,0,0,
477,58,23,0,1,
478,0,82,2,6,
479,5,21,7,13,
480,22,22,5,6,
481,0,82,0,2,
482,0,82,0,1,
483,0,82,0,1,
484,0,82,0,1,
485,0,82,0,2,
486,0,82,1,2,
487,0,82,0,0,
488,0,82,2,6,
489,0,82,0,3,
490,0,82,0,0,
491,0,82,0,3,
492,35,22,14,18,
493,0,82,2,5,
494,30,22,1,3,
495,0,82,0,1,
496,0,82,0,1,
497,0,90,83,15,
498,0,82,22,18,
499,0,82,2,4,
500,0,82,0,2,
501,0,82,0,1,
502,0,82,15,17,
503,0,82,0,1,
504,0,82,0,1,
505,0,82,0,2,
506,0,11,5,10,
507,37,22,23,17,
508,43,22,5,7,
509,0,82,0,2,
510,0,82,0,0,
511,0,71,9,9,
512,0,82,0,1,
513,0,82,0,3,
514,0,82,0,1,
515,0,41,24,17,
516,0,82,0,2,
517,0,82,0,2,
518,0,81,14,19,
519,31,22,5,6,
520,0,82,5,11,
521,0,82,1,3,
522,0,82,0,1,
523,0,82,0,1,
524,0,82,1,2,
525,3,21,3,9,
526,94,24,1,3,
527,21,22,4,6,
528,0,82,0,2,
529,0,82,7,10,
530,62,23,6,8,
531,0,71,0,4,
532,0,82,0,3,
533,0,82,0,1,
534,80,24,5,6,
535,0,82,0,0,
536,0,11,6,8,
537,39,22,0,2,
538,0,11,0,5,
539,18,21,1,3,
540,95,24,0,3,
541,37,22,8,8,
542,0,82,0,2,
543,0,82,0,5,
544,29,22,3,4,
545,0,90,65,21,
546,0,82,0,1,
547,0,41,79,17,
548,0,82,0,1,
549,0,82,0,0,
550,0,82,0,1,
551,42,22,14,8,
552,0,82,18,18,
553,9,21,6,12,
554,0,82,0,2,
555,0,82,1,5,
556,0,82,1,4,
557,0,82,0,2,
558,2,21,9,13,
559,44,23,7,5,
560,93,23,1,3,
561,0,11,6,13,
562,0,41,78,14,
563,0,82,0,0,
564,0,82,1,3,
565,34,22,4,6,
566,5,21,1,3,
567,0,82,0,1,
568,0,82,1,4,
569,0,82,2,4,
570,0,82,0,0,
571,0,82,0,1,
572,28,22,16,8,
573,23,22,17,12,
574,0,82,0,2,
575,0,82,2,7,
576,34,22,15,11,
577,0,82,22,22,
578,0,82,0,1,
579,0,11,0,1,
580,0,82,0,2,
581,3,21,5,8,
582,0,82,7,9,
583,0,82,0,0,
584,0,82,0,0,
585,0,90,88,11,
586,0,82,0,0,
587,14,21,75,19,
588,0,82,0,1,
589,0,82,0,1,
590,0,41,80,16,
591,0,41,24,15,
592,0,82,0,1,
593,0,11,8,15,
594,0,82,0,3,
595,0,81,7,11,
596,0,82,0,1,
597,0,82,0,0,
598,14,21,0,3,
599,0,41,73,17,
600,0,82,0,3,
601,0,82,0,1,
602,0,82,3,14,
603,0,82,0,6,
604,0,81,15,17,
605,12,21,5,7,
606,0,82,1,3,
607,20,22,31,21,
608,0,81,0,2,
609,0,82,0,1,
610,80,23,2,4,
611,0,41,69,19,
612,0,90,21,17,
613,0,82,0,0,
614,7,22,6,13,
615,0,82,0,0,
616,0,82,0,0,
617,0,71,3,5,
618,32,22,31,20,
619,0,82,0,1,
620,53,23,9,9,
621,0,82,1,3,
622,0,71,22,18,
623,0,82,0,1,
624,0,82,3,8,
625,0,82,0,2,
626,33,22,30,20,
627,55,23,4,5,
628,0,82,5,7,
629,0,82,0,2,
630,0,82,0,3,
631,49,22,12,9,
632,0,71,21,23,
633,0,71,4,12,
634,0,82,0,1,
635,0,82,0,0,
636,0,81,5,6,
637,0,82,0,0,
638,21,22,18,11,
639,0,82,1,3,
640,0,82,0,1,
641,0,82,0,1,
642,34,22,1,4,
643,0,82,1,4,
644,0,41,68,19,
645,0,82,0,0,
646,0,82,6,9,
647,0,82,0,1,
648,46,22,1,3,
649,0,82,0,0,
650,0,82,0,0,
651,0,82,0,3,
652,23,22,1,4,
653,0,82,2,4,
654,0,82,0,1,
655,4,21,3,5,
656,0,82,0,0,
657,0,82,0,0,
658,44,22,14,9,
659,0,41,59,24,
660,0,82,2,4,
661,0,41,81,12,
662,0,82,0,2,
663,0,82,1,3,
664,0,82,0,1,
665,0,82,1,4,
666,0,82,0,0,
667,0,82,0,1,
668,0,11,56,23,
669,0,81,4,7,
670,0,82,2,4,
671,0,82,0,1,
672,0,41,56,21,
673,28,22,56,22,
674,0,82,1,6,
675,0,82,0,1,
676,65,22,29,20,
677,0,82,3,6,
678,0,82,0,1,
679,54,23,3,5,
680,0,82,0,1,
681,0,82,1,3,
682,13,21,73,17,
683,0,82,0,1,
684,0,71,3,4,
685,0,71,2,5,
686,0,82,0,3,
687,24,22,23,17,
688,0,82,1,4,
689,0,82,0,1,
690,0,82,0,2,
691,0,82,1,3,
692,5,21,0,0,
693,0,82,0,2,
694,0,82,1,3,
695,0,41,64,18,
696,30,22,18,13,
697,0,41,69,17,
698,0,82,0,1,
699,0,82,0,0,
700,0,82,0,0,
701,52,23,1,3,
702,0,41,15,11,
703,0,90,72,18,
704,40,22,14,17,
705,0,81,0,1,
706,0,11,0,1,
707,79,23,1,3,
708,0,82,0,2,
709,0,82,0,3,
710,0,82,0,2,
711,0,82,0,0,
712,4,21,0,1,
713,0,82,0,3,
714,0,82,4,12,
715,0,82,0,1,
716,0,82,0,3,
717,0,82,0,1,
718,60,22,3,3,
719,33,22,14,9,
720,0,82,0,1,
721,5,21,10,14,
722,32,22,21,17,
723,0,82,0,0,
724,0,82,1,4,
725,0,52,21,17,
726,0,82,0,0,
727,0,82,0,1,
728,0,82,0,2,
729,0,82,0,0,
730,96,24,0,4,
731,0,82,1,4,
732,0,52,66,18,
733,0,41,68,18,
734,34,22,13,10,
735,16,21,52,22,
736,31,22,21,16,
737,38,22,1,4,
738,0,90,85,16,
739,0,82,0,1,
740,0,82,0,4,
741,0,82,0,0,
742,19,21,15,11,
743,0,82,0,1,
744,0,82,0,0,
745,0,82,0,3,
746,0,82,0,3,
747,0,82,1,3,
748,0,71,26,16,
749,76,23,3,4,
750,34,21,4,5,
751,0,82,0,1,
752,0,90,66,16,
753,0,81,14,12,
754,19,21,24,17,
755,14,21,0,1,
756,0,82,0,2,
757,0,82,1,5,
758,30,22,10,10,
759,0,82,0,0,
760,0,82,0,0,
761,0,71,0,3,
762,0,82,0,1,
763,0,82,1,4,
764,0,82,1,5,
765,0,82,0,1,
766,0,82,0,1,
767,0,81,8,10,
768,0,82,0,1,
769,0,11,9,13,
770,0,82,1,3,
771,0,82,0,2,
772,0,71,0,3,
773,0,82,0,0,
774,0,82,0,0,
775,0,82,0,0,
776,0,82,3,5,
777,0,82,0,0,
778,34,22,0,4,
779,39,22,11,9,
780,0,82,0,1,
781,0,82,0,1,
782,0,82,0,0,
783,0,82,22,19,
784,0,82,1,3,
785,0,82,0,3,
786,0,82,0,0,
787,0,82,0,2,
788,0,82,0,2,
789,0,82,0,0,
790,0,41,61,20,
791,0,11,11,13,
792,36,22,13,9,
793,0,82,0,0,
794,0,41,64,25,
795,0,82,0,2,
796,26,22,59,25,
797,0,82,0,1,
798,0,82,0,2,
799,0,11,11,14,
800,60,23,7,6,
801,0,82,0,1,
802,0,81,1,4,
803,0,82,14,13,
804,0,82,0,1,
805,78,23,2,5,
806,0,82,0,0,
807,0,95,5,15,
808,0,41,85,7,
809,0,82,22,24,
810,0,82,0,1,
811,0,82,0,2,
812,0,82,0,1,
813,0,82,1,3,
814,20,22,40,22,
815,0,82,0,1,
816,0,41,83,12,
817,28,22,14,10,
818,0,82,0,1,
819,0,82,0,1,
820,0,82,0,2,
821,0,82,0,2,
822,0,90,86,12,
823,24,22,2,4,
824,0,82,0,3,
825,0,82,0,1,
826,0,11,10,18,
827,89,24,3,5,
828,4,21,0,1,
829,0,82,0,1,
830,0,81,11,10,
831,0,82,0,2,
832,0,82,0,1,
833,0,82,0,0,
834,0,82,0,0,
835,6,21,27,23,
836,0,81,1,4,
837,0,82,2,6,
838,0,82,0,1,
839,21,22,0,4,
840,0,82,3,10,
841,32,22,8,8,
842,0,11,0,2,
843,31,22,15,11,
844,11,21,34,19,
845,35,22,2,5,
846,68,23,2,4,
847,0,82,0,1,
848,37,22,13,9,
849,0,82,0,4,
850,0,41,18,12,
851,0,82,0,1,
852,32,22,25,19,
853,0,41,38,29,
854,0,82,0,1,
855,0,82,2,6,
856,0,82,0,1,
857,48,22,3,4,
858,29,23,4,6,
859,0,82,0,0,
860,3,21,2,5,
861,0,82,0,2,
862,0,81,12,11,
863,0,82,1,3,
864,0,82,0,1,
865,0,82,4,11,
866,0,82,0,1,
867,0,82,0,2,
868,0,82,0,1,
869,0,82,1,4,
870,0,82,2,5,
871,0,41,82,13,
872,0,82,3,7,
873,0,82,0,1,
874,0,41,52,19,
875,0,42,41,21,
876,0,82,0,1,
877,0,41,77,10,
878,13,21,15,17,
879,0,41,87,9,
880,19,21,9,11,
881,0,82,2,6,
882,32,22,17,17,
883,33,22,6,7,
884,0,82,0,1,
885,0,82,0,1,
886,0,82,0,3,
887,3,21,74,19,
888,0,41,4,10,
889,34,22,1,4,
890,0,82,0,2,
891,0,82,0,2,
892,41,22,12,9,
893,24,22,35,19,
894,39,22,14,10,
895,0,82,0,3,
896,87,24,0,2,
897,0,81,6,9,
898,0,41,73,18,
899,0,82,0,0,
900,0,82,0,2,
901,0,82,0,2,
902,0,82,7,9,
903,29,22,9,9,
904,0,81,23,16,
905,50,22,13,8,
906,0,82,0,2,
907,0,81,1,4,
908,0,82,0,1,
909,36,22,3,4,
910,0,82,21,16,
911,0,82,6,9,
912,62,23,7,9,
913,0,41,25,23,
914,0,82,1,5,
915,14,21,31,21,
916,57,23,2,5,
917,97,24,2,3,
918,0,81,6,11,
919,1,82,0,2,
920,0,81,0,2,
921,0,82,0,1,
922,0,90,88,11,
923,0,82,0,2,
924,21,22,1,4,
925,0,41,54,19,
926,70,23,0,3,
927,27,22,41,21,
928,0,41,25,23,
929,0,82,0,2,
930,0,81,14,19,
931,0,82,0,1,
932,0,82,1,4,
933,1,21,3,7,
934,39,22,1,4,
935,0,82,1,3,
936,42,22,11,9,
937,0,82,0,1,
938,0,82,1,4,
939,0,82,0,1,
940,0,82,0,1,
941,0,82,0,1,
942,98,24,4,5,
943,0,82,0,1,
944,4,21,0,3,
945,0,81,12,10,
946,20,22,52,23,
947,0,82,0,1,
948,0,82,62,28,
949,43,22,7,8,
950,0,11,6,10,
951,0,90,82,12,
952,0,81,21,16,
953,0,43,32,20,
954,0,82,0,1,
955,0,82,0,0,
956,0,41,56,20,
957,0,82,24,19,
958,0,82,0,1,
959,0,41,86,10,
960,0,82,0,0,
961,0,81,3,6,
962,0,82,0,0,
963,0,82,0,3,
964,0,82,0,2,
965,45,22,2,6,
966,0,82,18,12,
967,0,82,0,1,
968,0,41,82,14,
969,0,82,0,2,
970,50,22,4,6,
971,0,82,1,3,
972,0,82,0,3,
973,0,82,0,1,
974,0,82,0,0,
975,0,82,2,6,
976,0,82,0,1,
977,0,82,0,0,
978,19,22,41,21,
979,0,82,0,1,
980,25,22,2,7,
981,0,82,0,0,
982,0,11,0,3,
983,0,81,10,10,
984,0,82,0,1,
985,0,82,0,2,
986,25,22,36,24,
987,0,41,85,10,
988,0,82,2,6,
989,2,21,1,4,
990,31,22,2,4,
991,40,22,16,11,
992,0,82,0,0,
993,0,82,0,0,
994,0,82,2,5,
995,0,82,0,1,
996,73,23,4,7,
997,29,22,27,16,
998,0,82,0,1,
999,0,41,63,23,
1000,0,82,2,5,
1001,0,82,0,1,
1002,0,82,0,2,
1003,0,95,18,20,
1004,22,22,2,6,
1005,0,41,71,17,
1006,0,82,1,4,
1007,0,82,0,0,
1008,0,82,0,2,
1009,0,82,1,4,
1010,0,82,0,1,
1011,0,82,0,1,
1012,0,82,0,0,
1013,0,82,1,4,
1014,0,81,2,6,
1015,0,82,0,1,
1016,0,82,0,1,
1017,45,22,2,5,
1018,0,81,2,7,
1019,22,22,3,6,
1020,21,22,3,8,
1021,0,82,0,2,
1022,0,82,1,4,
1023,75,22,3,4,
1024,0,41,62,18,
1025,0,82,1,4,
1026,12,21,61,23,
1027,0,82,0,2,
1028,27,22,1,3,
1029,10,21,5,7,
1030,0,82,0,1,
1031,0,82,0,0,
1032,0,82,0,5,
1033,0,82,0,5,
1034,0,82,0,3,
1035,47,22,15,11,
1036,0,82,0,1,
1037,0,82,2,5,
1038,0,82,1,3,
1039,25,22,5,15,
1040,0,82,0,2,
1041,0,82,0,1,
1042,17,22,14,11,
1043,0,82,60,24,
1044,0,82,0,1,
1045,0,82,0,1,
1046,46,22,4,5,
1047,0,82,1,4,
1048,0,82,0,1,
1049,0,82,0,1,
1050,0,82,0,1,
1051,0,82,2,5,
1052,0,82,1,9,
1053,0,82,0,1,
1054,54,23,2,4,
1055,0,82,0,1,
1056,0,82,1,4,
1057,5,21,19,15,
1058,33,22,13,11,
1059,0,82,0,2,
1060,0,82,0,0,
1061,0,82,0,2,
1062,0,82,0,0,
1063,35,22,12,10,
1064,0,82,0,2,
1065,0,90,6,12,
1066,0,82,0,3,
1067,0,82,0,1,
1068,0,81,0,3,
1069,10,21,1,3,
1070,0,82,0,1,
1071,0,81,7,6,
1072,92,24,1,4,
1073,0,82,0,2,
1074,0,82,0,1,
1075,80,23,0,3,
1076,44,22,6,6,
1077,30,22,4,4,
1078,0,82,0,2,
1079,0,82,0,1,
1080,0,82,3,8,
1081,27,22,4,6,
1082,0,82,1,4,
1083,0,82,0,2,
1084,0,41,85,11,
1085,0,82,0,2,
1086,0,41,77,12,
1087,0,82,1,2,
1088,43,22,28,21,
1089,0,82,0,0,
1090,10,21,77,18,
1091,27,22,24,15,
1092,0,82,0,1,
1093,0,82,0,1,
1094,54,23,4,7,
1095,0,81,6,8,
1096,0,82,0,1,
1097,0,41,33,23,
1098,0,82,0,0,
1099,0,82,0,3,
1100,9,21,46,22,
1101,0,81,0,0,
1102,0,82,1,2,
1103,0,82,0,2,
1104,95,24,0,3,
1105,0,82,0,1,
1106,43,22,21,14,
1107,13,22,5,6,
1108,27,22,15,11,
1109,0,82,0,1,
1110,32,22,7,7,
1111,0,82,4,8,
1112,0,82,4,9,
1113,31,22,28,17,
1114,0,11,5,10,
1115,0,82,1,5,
1116,0,82,0,2,
1117,0,82,0,1,
1118,0,82,0,0,
1119,54,23,3,5,
1120,0,82,0,4,
1121,70,23,10,9,
1122,0,82,2,5,
1123,0,90,79,16,
1124,0,82,0,2,
1125,64,23,3,6,
1126,0,82,0,3,
1127,0,82,0,1,
1128,63,23,1,3,
1129,0,41,26,18,
1130,0,41,18,15,
1131,68,23,8,7,
1132,0,11,0,8,
1133,0,82,0,0,
1134,0,41,63,20,
1135,0,81,29,18,
1136,64,23,4,5,
1137,43,22,0,3,
1138,0,41,86,10,
1139,82,24,0,2,
1140,0,82,0,3,
1141,0,82,0,0,
1142,29,22,2,5,
1143,0,82,10,18,
1144,0,41,72,13,
1145,0,82,0,1,
1146,0,82,3,9,
1147,0,11,28,22,
1148,0,82,0,1,
1149,0,82,0,2,
1150,0,82,0,1,
1151,0,82,0,1,
1152,0,82,1,5,
1153,0,82,0,0,
1154,0,82,0,0,
1155,0,81,1,4,
1156,0,82,0,5,
1157,0,82,0,0,
1158,0,82,0,1,
1159,0,82,0,2,
1160,27,22,0,3,
1161,38,22,25,17,
1162,0,82,0,1,
1163,0,82,0,4,
1164,29,22,18,14,
1165,73,23,1,3,
1166,64,23,1,3,
1167,0,82,0,1,
1168,0,82,0,1,
1169,0,82,0,3,
1170,0,82,0,1,
1171,0,82,0,2,
1172,0,82,0,2,
1173,9,21,5,7,
1174,77,23,1,5,
1175,0,82,0,2,
1176,0,82,0,2,
1177,0,82,0,0,
1178,0,11,3,9,
1179,0,82,1,4,
1180,0,82,2,5,
1181,50,23,9,8,
1182,0,82,0,2,
1183,0,82,0,1,
1184,17,21,1,5,
1185,0,41,75,9,
1186,0,82,8,13,
1187,0,82,0,0,
1188,0,95,6,9,
1189,21,22,23,20,
1190,0,43,69,21,
1191,0,82,0,1,
1192,0,82,1,4,
1193,93,23,7,9,
1194,26,22,19,13,
1195,20,22,5,11,
1196,32,22,16,8,
1197,76,23,1,4,
1198,44,22,2,4,
1199,4,21,2,3,
1200,0,82,0,2,
1201,0,41,30,18,
1202,3,21,0,3,
1203,19,21,9,11,
1204,0,41,64,20,
1205,51,23,10,9,
1206,0,82,10,20,
1207,42,22,9,8,
1208,44,22,11,9,
1209,0,82,0,0,
1210,59,23,1,3,
1211,0,82,0,2,
1212,47,22,4,6,
1213,0,41,89,9,
1214,40,22,31,21,
1215,14,21,3,5,
1216,0,82,0,2,
1217,28,22,8,10,
1218,0,82,0,1,
1219,0,81,2,5,
1220,0,82,1,4,
1221,0,82,0,1,
1222,0,82,0,1,
1223,0,82,0,2,
1224,0,82,0,0,
1225,0,82,1,4,
1226,57,23,6,6,
1227,0,82,1,4,
1228,0,82,0,2,
1229,0,71,5,7,
1230,0,82,0,2,
1231,0,82,0,1,
1232,0,82,0,0,
1233,0,82,0,1,
1234,0,90,61,21,
1235,32,22,12,9,
1236,0,82,0,1,
1237,0,82,0,1,
1238,0,42,26,22,
1239,0,82,0,1,
1240,46,22,3,5,
1241,0,82,1,3,
1242,9,21,9,8,
1243,0,82,2,4,
